UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Dustin,@DJLK20,2020-01-01T05:49:37.000Z,"Dustin
@DJLK20
·
2020年1月1日",File this under kids I don’t have. If I ever end up having a daughter. Her name will be Arya. There will be no discussion about this.,,,,1,[],https://twitter.com/DJLK20/status/1212249499390758912
Dustin,@DJLK20,2020-01-04T08:35:52.000Z,"Dustin
@DJLK20
·
2020年1月4日",Is anybody else curious about what Haile has to to say about Eminem’s songs now that she is an adult? I’d watch that Netflix special.,,1,,3,[],https://twitter.com/DJLK20/status/1213378500423405568
Dustin,@DJLK20,2020-01-04T07:36:24.000Z,"Dustin
@DJLK20
·
2020年1月4日","Wow. This dude Mesus had a great line that goes at lord jamar. Calling eminem a guest in hip hop. James Naismith invented basketball. White dude. Is Jordan a guest in that culture? I wish skills were just seen as skills. Nothing more, nothing less.",,,,,[],https://twitter.com/DJLK20/status/1213363535192805376
Dustin,@DJLK20,2020-01-04T07:22:08.000Z,"Dustin
@DJLK20
·
2020年1月4日",I’m sad. Finished Fallen Order. Great game. Now I have to buy a PS4 and buy Last of Us 2 in Feb. I’ve been looking forward to this game for years! It’s the only reason I’m buying a PS4.,,,,,[],https://twitter.com/DJLK20/status/1213359945057353728
Dustin,@DJLK20,2020-01-05T23:07:36.000Z,"Dustin
@DJLK20
·
2020年1月6日",Beastmode is so fun to watch!,,,,3,[],https://twitter.com/DJLK20/status/1213960265886121984
Dustin,@DJLK20,2020-01-05T22:32:46.000Z,"Dustin
@DJLK20
·
2020年1月6日","It’s obvious he got both feet in, but the ball hitting the ground is questionable. I think the call on the field stands.",,,,,[],https://twitter.com/DJLK20/status/1213951498746392577
Dustin,@DJLK20,2020-01-05T04:22:49.000Z,"Dustin
@DJLK20
·
2020年1月5日",That’ll do Tannehill. That’ll do.,,,,2,['https://pbs.twimg.com/tweet_video_thumb/ENfY-7oUcAAe78z.jpg'],https://twitter.com/DJLK20/status/1213677206938906626
Dustin,@DJLK20,2020-01-05T00:43:46.000Z,"Dustin
@DJLK20
·
2020年1月5日",The end of that 4th quarter was a cluster fuck.,,,,1,[],https://twitter.com/DJLK20/status/1213622078126952449
Dustin,@DJLK20,2020-01-11T23:23:31.000Z,"Dustin
@DJLK20
·
2020年1月12日",This is probably over. That Vikings defense is showing no heart.,,,,3,[],https://twitter.com/DJLK20/status/1216138597998329857
Dustin,@DJLK20,2020-01-11T22:02:58.000Z,"Dustin
@DJLK20
·
2020年1月12日",Looks like Jimmy tweaked that left ankle a bit.,,,,,[],https://twitter.com/DJLK20/status/1216118327744987136
Dustin,@DJLK20,2020-01-11T06:50:56.000Z,"Dustin
@DJLK20
·
2020年1月11日",Update. My kids loved American Pie. They want to watch the sequel next week.,,,,,[],https://twitter.com/DJLK20/status/1215888805858668544
Dustin,@DJLK20,2020-01-11T05:32:18.000Z,"Dustin
@DJLK20
·
2020年1月11日","Movie night with my kids. They are 16. We watch old movies they have never seen. Tonight, after watching old movie trailers, they chose American Pie. This shouldn’t be awkward at all.",,1,,3,[],https://twitter.com/DJLK20/status/1215869019506409472
Dustin,@DJLK20,2020-01-12T07:59:06.000Z,"Dustin
@DJLK20
·
2020年1月12日",You know what’s fun? Doing what I am doing now. I have 7 players that I coached playing Madden at my house right now. Guys we,,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1216268261437739008/pu/img/UWL5vANaSTq4rgGz.jpg'],https://twitter.com/DJLK20/status/1216268351124594688
Dustin,@DJLK20,2020-01-12T06:42:22.000Z,"Dustin
@DJLK20
·
2020年1月12日","Lil Dicky is hilarious. “I’m switching it up like I’m trans. Although I’m the Trojan man I’m eating up pussy like cervical cancer” “OJ wit it, ya’ll wonder how I did it. My mom hit me once, she lucky I didn’t sue, but I’ll stomp y’all out like Ndamukong Suh.”",,,1,1,[],https://twitter.com/DJLK20/status/1216249041530445824
Dustin,@DJLK20,2020-01-12T05:57:00.000Z,"Dustin
@DJLK20
·
2020年1月12日",I imagine Russ is looking deep into Ifedi’s eyes when he is talking in the huddle.,,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1216237532976803840/pu/img/eF3NjHW_8rcOUy2q.jpg'],https://twitter.com/DJLK20/status/1216237623598960640
Dustin,@DJLK20,2020-01-15T03:26:57.000Z,"Dustin
@DJLK20
·
2020年1月15日",Didn’t expect that cameo on Crisis on Infinite Earths. That was pretty cool.,,,,,[],https://twitter.com/DJLK20/status/1217287026371747841
Dustin,@DJLK20,2020-01-18T05:32:11.000Z,"Dustin
@DJLK20
·
2020年1月18日",Wicket decided to grace me with his presence tonight. I don’t know what I did to deserve this honor.,,,,2,['https://pbs.twimg.com/media/EOilhufVUAAbSVN?format=jpg&name=900x900'],https://twitter.com/DJLK20/status/1218405703326416897
Dustin,@DJLK20,2020-01-19T06:20:31.000Z,"Dustin
@DJLK20
·
2020年1月19日",Wow. Conor was impressive.,,,,,[],https://twitter.com/DJLK20/status/1218780254350659589
Dustin,@DJLK20,2020-01-20T04:49:28.000Z,"Dustin
@DJLK20
·
2020年1月20日",I think I just saw the oldest son from Family Matters on Batwoman. Can’t remember his name though.  It’s also weird that they mentioned Chris Evans and Captain America.,,,,,[],https://twitter.com/DJLK20/status/1219119730335703040
Dustin,@DJLK20,2020-01-20T02:42:53.000Z,"Dustin
@DJLK20
·
2020年1月20日","Once again, Sherman seals the deal in a NFCCG. Good for him.",,,,2,[],https://twitter.com/DJLK20/status/1219087875972587520
Dustin,@DJLK20,2020-01-20T02:25:49.000Z,"Dustin
@DJLK20
·
2020年1月20日",Is anybody else having audio issues? This shit is driving me crazy.,,,,,[],https://twitter.com/DJLK20/status/1219083579814137857
Dustin,@DJLK20,2020-01-20T01:12:07.000Z,"Dustin
@DJLK20
·
2020年1月20日",I didn’t know there was such a thing as a third round bye.,,,,2,[],https://twitter.com/DJLK20/status/1219065034250153985
Dustin,@DJLK20,2020-01-20T00:53:36.000Z,"Dustin
@DJLK20
·
2020年1月20日",Pretty sure the 49ers just did their version of the Dudley Death Drop. All that was missing is a table.,,,,,[],https://twitter.com/DJLK20/status/1219060374059618304
Dustin,@DJLK20,2020-01-20T00:46:56.000Z,"Dustin
@DJLK20
·
2020年1月20日",They just said Jerry Rice is 57. I feel old now.,,,,1,[],https://twitter.com/DJLK20/status/1219058694270279680
Dustin,@DJLK20,2020-01-20T00:30:04.000Z,"Dustin
@DJLK20
·
2020年1月20日","I got a colles fracture in my arm when I was a teenager. That mechanism of injury that Coleman had was the same as mine. If they are checking out his elbow though, my guess is that its a dislocation.",,,,,[],https://twitter.com/DJLK20/status/1219054451878531073
Dustin,@DJLK20,2020-01-20T00:27:00.000Z,"Dustin
@DJLK20
·
2020年1月20日",That’s a broken wrist. No doubt in my mind about it.,,,,,[],https://twitter.com/DJLK20/status/1219053676381130752
Dustin,@DJLK20,2020-01-22T03:32:53.000Z,"Dustin
@DJLK20
·
2020年1月22日","Watched the Jay and Silent Bob reboot. It was terrible, but I enjoyed it. It’s my kind of humor.",,,,,[],https://twitter.com/DJLK20/status/1219825231667322880
Dustin,@DJLK20,2020-02-01T23:02:03.000Z,"Dustin
@DJLK20
·
2020年2月2日",Never thought Hawaii 5-0 would pull on the heart strings. Watching the one from last night now. The back story on McGarret’s dog is actually pretty emotional.,,,,,[],https://twitter.com/DJLK20/status/1223743342338404352
Dustin,@DJLK20,2020-02-02T23:41:02.000Z,"Dustin
@DJLK20
·
2020年2月3日",That thing with the kids was pretty cool. So were the intros with the Rock.,,,1,1,[],https://twitter.com/DJLK20/status/1224115541633204224
Dustin,@DJLK20,2020-02-02T08:35:33.000Z,"Dustin
@DJLK20
·
2020年2月2日",Anybody play Madden on Xbox? I’m about to start.,,,,,[],https://twitter.com/DJLK20/status/1223887668104220674
Dustin,@DJLK20,2020-02-02T07:25:01.000Z,"Dustin
@DJLK20
·
2020年2月2日","Found out today that somebody I deployed with died. Back in 2016. I don’t understand how I am just hearing about this. This is the 3rd person that I know of that has passed. I started a FB group to connect with my battle buddies. Come to find out, it’s not all happily ever after",,2,,1,[],https://twitter.com/DJLK20/status/1223869916391997440
