UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Regrette Rien,@YaniqueJLambert,2022-01-01T23:49:14.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月2日","People who live with their parents & still manage to masturbate, fear nothing. 

I'm here just terrified & just a hold it till mi leff.",,15,13,63,['https://pbs.twimg.com/media/FIDfxh2XsAcE4b3?format=jpg&name=900x900'],https://twitter.com/YaniqueJLambert/status/1477426721884364807
Regrette Rien,@YaniqueJLambert,2022-01-01T23:39:09.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月2日",Oh it's RAINING raining tonight.,,,,1,[],https://twitter.com/YaniqueJLambert/status/1477424184552734722
Regrette Rien,@YaniqueJLambert,2022-01-01T23:12:06.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月2日","Lol look 
@mamachell",,1,,2,['https://pbs.twimg.com/profile_images/1626224193401675776/ETOWUYWx_normal.jpg'],https://twitter.com/YaniqueJLambert/status/1477417375884623874
Regrette Rien,@YaniqueJLambert,2022-01-01T23:11:35.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月2日",The way I gasped,,2,2,9,['https://pbs.twimg.com/ext_tw_video_thumb/1477417223425769475/pu/img/GTGM1PV2XDiiBCfD.jpg'],https://twitter.com/YaniqueJLambert/status/1477417248277028867
Regrette Rien,@YaniqueJLambert,2022-01-01T06:21:40.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月1日",That's just so...,,,,,['https://pbs.twimg.com/tweet_video_thumb/FH_wAIUXoAEUXav.jpg'],https://twitter.com/YaniqueJLambert/status/1477163093247602688
Regrette Rien,@YaniqueJLambert,2022-01-01T06:13:06.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月1日","This girl said ""no broke dick"" on CNN",,,,6,[],https://twitter.com/YaniqueJLambert/status/1477160935664103428
Regrette Rien,@YaniqueJLambert,2022-01-01T06:11:58.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月1日",Don Lemon is proper drunk,,1,1,1,[],https://twitter.com/YaniqueJLambert/status/1477160654020784133
Regrette Rien,@YaniqueJLambert,2022-01-01T05:56:57.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月1日",Telegram background with the snow ,😍,,1,,[],https://twitter.com/YaniqueJLambert/status/1477156875082899459
Regrette Rien,@YaniqueJLambert,2022-01-01T05:48:59.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月1日","My mom and I keep saying how perfect 
@lizakoshy
 is for the Times Square show. She's not awkward or extra. Been watching for years and she's the fresh face fit.",,,,1,[],https://twitter.com/YaniqueJLambert/status/1477154870448824322
Regrette Rien,@YaniqueJLambert,2022-01-01T05:44:58.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月1日",That's would be the 3rd. Thanks.,🙄 🐍 🎊,,,,['https://pbs.twimg.com/profile_images/1607563553212448769/B-3hZcjU_normal.jpg'],https://twitter.com/YaniqueJLambert/status/1477153857981591552
