UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
The Food & Wine Diva,@FoodAndWineDiva,2020-03-01T02:40:21.000Z,"The Food & Wine Diva
@FoodAndWineDiva
·
2020年3月1日",I am so sorry this happened to you & hope you get better & aren't diagnosed with Corona. This is the first time in my life I've been scared about dying from the flu. I have serious asthma problems and understand your fears. I pray the hospital staff obey epidemiology protocols.,🙏,,,1,['https://pbs.twimg.com/profile_images/1632250909320433664/gmf1f9TG_normal.jpg'],https://twitter.com/FoodAndWineDiva/status/1233945140122791937
Pecan Shannageddon,@patatadisastra,2020-03-06T16:51:55.000Z,"Pecan Shannageddon
@patatadisastra
·
2020年3月7日","回复 
@palmc0rderyajna",🙃,1,,1,[],https://twitter.com/patatadisastra/status/1235971383299051520
Casey Joe,@itscaseyjoe,2020-03-09T17:29:19.000Z,"Casey Joe
@itscaseyjoe
·
2020年3月10日","1 in 10 women are diagnosed with Endometriosis and yet it doesn’t get enough awareness. I meet people all the time that has never heard of the chronic illness. 
I am 1 in 10
On average it takes 7-12 years to be… https://instagram.com/p/B9hXO2jJ2G-/?igshid=ag6rjah1ib7e…",,,,,[],https://twitter.com/itscaseyjoe/status/1237067957206908928
,,2020-03-09T17:29:19.000Z,,,,,,,[],https://twitter.com/itscaseyjoe/status/1237067957206908928
cassie johnson,@cbj7057,2020-03-14T18:53:27.000Z,"cassie johnson
@cbj7057
·
2020年3月15日",I am selling T-shirts to benefit Trey Donmoyer who was diagnosed with lukemia. money from this shirt will be given to his family for medical expenses.15$ per shirt. i need names and sizes. i will bring them to school when we return .,,2,16,19,[],https://twitter.com/cbj7057/status/1238901069322878976
Michelle,@mhadley1973,2020-03-16T15:45:44.000Z,"Michelle
@mhadley1973
·
2020年3月16日","回复 
@PauleyP",,,,,[],https://twitter.com/mhadley1973/status/1239578604222234629
Keira Elder,@KeiraElder13,2020-03-17T02:45:26.000Z,"Keira Elder
@KeiraElder13
·
2020年3月17日","I am 90% convinced that I had COVID-19 before Christmas break. Was diagnosed with a cold virus and given cough medicine but not tested for anything. Fever, cough, sore throat, headache, fatigue, loss of appetite.",,,,1,[],https://twitter.com/KeiraElder13/status/1239744623913943040
Hermann Mazard,@HermannM,2020-03-19T08:23:04.000Z,"Hermann Mazard
@HermannM
·
2020年3月19日","I am happy to announce that I am fine, and sheltering in place. There have been cases diagnosed in every borough, but the hotspots are in Manhattan and Westchester County. For now, I'm home in Brooklyn, watching a lot of 
@Netflix
 and 
@Hulu
, and bored. #CoronaVirusUpdate",,,,1,[],https://twitter.com/HermannM/status/1240554367138349056
Greg Taylor,@GRTaylor2,2020-03-28T09:24:57.000Z,"Greg Taylor
@GRTaylor2
·
2020年3月28日","Someone close to me was diagnosed with #COVID19. I am happy to say that he did was the doctors ordered, and remained in quarantine and I’m happy to say he is doing much better and on the mend. We are all grateful.",,,,2,[],https://twitter.com/GRTaylor2/status/1243831431975055360
Lisa Morgan,@Mama_Sayyyyyyy,2020-03-29T16:48:59.000Z,"Lisa Morgan
@Mama_Sayyyyyyy
·
2020年3月30日","@infobeautiful
 Are there any graphs that compare states? I am interested in # of cases per capita/state testing. State cases per capita/deaths. And maybe diagnosed cases but not tested.",,,,,[],https://twitter.com/Mama_Sayyyyyyy/status/1244305565075017728
Victoria Ard,@aardvarksays,2020-03-30T19:03:50.000Z,"Victoria Ard
@aardvarksays
·
2020年3月31日","In 2019, 13,170 women were diagnosed with cervical cancer. Through early detection and intervention, I am not a part of that statistic. 

In November 2019, I was diagnosed with high grade squamous intraepithelial…",,,,,[],https://twitter.com/aardvarksays/status/1244701890643988480
Vivian Ferreiro,@sweetviv65,2020-04-04T03:03:51.000Z,"Vivian Ferreiro
@sweetviv65
·
2020年4月4日","回复 
@Alyssa_Milano",,2,,5,[],https://twitter.com/sweetviv65/status/1246272238841671682
Laura E,@Lauranimalsgirl,2020-04-04T12:20:41.000Z,"Laura E
@Lauranimalsgirl
·
2020年4月4日","@VictorBlackwell
 
Hi. I was diagnosed with covid-19 on March 8th after 7 days in the hospital.  I am experiencing a relapse. In constant touch with my doctor.  Treating myself at home.  Is there any truth that a relapse is more dangerous?",,1,,,[],https://twitter.com/Lauranimalsgirl/status/1246412373109415936
Liz Bernstein (she/they),@yeralizard,2020-04-04T05:03:00.000Z,"Liz Bernstein (she/they)
@yeralizard
·
2020年4月4日","Hello friends! I am looking for autistic women that were diagnosed later in life that would be willing to talk and share their experiences with me, and also maybe recommendations for books on the subject. I was going to get testing but that's been sidetracked by COVID-19 so (1/2)",,1,,3,[],https://twitter.com/yeralizard/status/1246302227813318657
Mark J. Sommaruga,@SommarugaMark,2020-04-05T14:38:12.000Z,"Mark J. Sommaruga
@SommarugaMark
·
2020年4月5日","On the other hand, I am aware of people who have been very ill with all  of the symptoms who were not officially diagnosed with COVID-19, so this gentleman’s argument may be seriously flawed (or at least have a counterweight of undercounting)",,,,,['https://pbs.twimg.com/profile_images/1288215336618201088/L_qGJGkg_normal.jpg'],https://twitter.com/SommarugaMark/status/1246809368701603841
Laura E,@Lauranimalsgirl,2020-04-05T07:07:00.000Z,"Laura E
@Lauranimalsgirl
·
2020年4月5日","回复 
@AHealthBlog
 和 
@morgfair",🙏 ❤,3,2,6,[],https://twitter.com/Lauranimalsgirl/status/1246695817777471489
Sean,@Sean0336,2020-04-07T12:39:41.000Z,"Sean
@Sean0336
·
2020年4月7日","I was told this video of 
@BorisJohnson
 shortly before he was diagnosed for covid-19. I normally would admire him and UK system. But hey this is in the pandemic! Whatever, Boris, I am pulling for you!",,,2,,[],https://twitter.com/Sean0336/status/1247504318581936129
Liza Rodriguez-Brown,@lmrbrown,2020-04-08T01:08:48.000Z,"Liza Rodriguez-Brown
@lmrbrown
·
2020年4月8日","回复 
@MorganRadford",,,,1,[],https://twitter.com/lmrbrown/status/1247692840932651016
We Rise To Legalize,@risetolegalize,2020-04-08T19:57:20.000Z,"We Rise To Legalize
@risetolegalize
·
2020年4月9日","Dear Gov. Cuomo, ""I am a New Yorker that was diagnosed with Dravet syndrome. Please expand the Medical Marijuana Program into communities of color so my caregivers can directly access research, education & medicinal… https://instagram.com/p/B-u4BWPBPz3/?igshid=k9zjvzlbfnsl…",,,,,[],https://twitter.com/risetolegalize/status/1247976843430580224
WSIA 88.9FM,@wsia_fm,2020-04-10T17:10:47.000Z,"WSIA 88.9FM
@wsia_fm
·
2020年4月11日","Well, I haven’t been officially diagnosed, but it is more than likely that I do have it.

As of now, I am not a fan of self-quarantine, is it essential to prevent the spread of the virus? Yes, but I long for the days of being around other people that I care about.(2)",,1,1,,[],https://twitter.com/wsia_fm/status/1248659704290652162
Stephanie Smelyansky,@SSmelyansky,2020-04-12T00:06:55.000Z,"Stephanie Smelyansky
@SSmelyansky
·
2020年4月12日","回复 
@rachelRACH10
 和 
@summerbrennan",,1,,1,[],https://twitter.com/SSmelyansky/status/1249126818445234177
Andrew P. Marcinek,@andycinek,2020-04-19T20:36:14.000Z,"Andrew P. Marcinek
@andycinek
·
2020年4月20日","Tomorrow was supposed to be my second Boston Marathon with the #RunDFMC team and the weather just had to be better than 2018!! I am running for my good friend, Rayna, who was diagnosed… https://instagram.com/p/B_LRNyHhpVDHOOtCSsl5KF5SQVYufLfV4ny_eA0/?igshid=17nblt6xmy5ix…",,,,2,[],https://twitter.com/andycinek/status/1251972899377995776
Tara,@TaraA_79,2020-04-27T00:07:25.000Z,"Tara
@TaraA_79
·
2020年4月27日",Jeff’s great aunt was diagnosed with COVID today. I am just so tired.,,3,,,[],https://twitter.com/TaraA_79/status/1254562759607533568
