UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Pryncess,@thatpryncess,2022-01-02T22:49:50.000Z,"Pryncess
@thatpryncess
·
2022年1月3日","When I was told I had ptsd I was shocked. I was told by an ex friend that there was “no way I could ever have depression.” So once I started getting diagnosed with different mental illnesses, I feel like ptsd was the most shocking. But now I’m sitting here, just waking up",💜 🌙,2,,8,[],https://twitter.com/thatpryncess/status/1477774161523011590
mandy small,@mandy4small,2022-01-02T19:12:50.000Z,"mandy small
@mandy4small
·
2022年1月3日",#mentalhealth I'm not ashamed to say I've had struggles with my MH. I was diagnosed with Ptsd in 07 and its taken several hits since. I've been at my lowest ebb not knowing where to turn but now I'm on the right path. I've learnt to talk and to tell trusted people when I'm low.,,19,9,181,[],https://twitter.com/mandy4small/status/1477719552704319493
somebody mama,@avhxo_,2022-01-02T17:49:05.000Z,"somebody mama
@avhxo_
·
2022年1月3日",if u wasn’t there talking me thru the trauma and ptsd in my life or when i got diagnosed with bipolar depression or thru my pregnancy or times where i was stuck crying couldnt get out of bed & ian wanna do life any more or simply there when i needed a shoulder when i was stressed,🦋,1,,,[],https://twitter.com/avhxo_/status/1477698475550720014
Miranda,@dreamcore_elegy,2022-01-02T15:03:49.000Z,"Miranda
@dreamcore_elegy
·
2022年1月2日",Was diagnosed with PTSD when I was 19 - if someone had “prescribed” me a comedian I think I’d have ended it all there and then,🕊,1,1,5,['https://pbs.twimg.com/profile_images/1592106291131981824/KGQjIuzf_normal.jpg'],https://twitter.com/dreamcore_elegy/status/1477656885385994240
Angela Marie Bilbow,@AngelaBilbow,2022-01-02T14:55:45.000Z,"Angela Marie Bilbow
@AngelaBilbow
·
2022年1月2日","2021: new home/job, I was diagnosed with PTSD, mini-breaks, heartbreak, new friends, saw more of family, mum got first clear scan, four flights, friend got married, visited new places. The bad was really bad, but the good was great and I’m full with love ",❤,1,,10,"['https://pbs.twimg.com/media/FIGvQJLWYAItRIG?format=jpg&name=small', 'https://pbs.twimg.com/media/FIGvQJIWYAsOxRi?format=jpg&name=small', 'https://pbs.twimg.com/media/FIGvQJJWUAE5MX_?format=jpg&name=small']",https://twitter.com/AngelaBilbow/status/1477654853308620806
mumbz,@Mumbsknowsbest,2022-01-02T08:45:15.000Z,"mumbz
@Mumbsknowsbest
·
2022年1月2日",i rlly gaslight tf outta myself. when i was diagnosed w/ ptsd i still was like “u prolly just being dramatic” in my head ,😂,,,,[],https://twitter.com/Mumbsknowsbest/status/1477561613859241987
THE Crapplefratz (Accept no substitutes),@Crapplefratz,2022-01-03T22:36:34.000Z,"THE Crapplefratz (Accept no substitutes)
@Crapplefratz
·
2022年1月4日","You really have no idea what real trauma is like.

After being mugged & beaten in Chicago, I was diagnosed with PTSD.

Then I met some Vets who suffered PTSD from combat. THAT'S real trauma.

My medical record still says ""PTSD,"" but I don't mention it any longer.",,,,4,['https://pbs.twimg.com/profile_images/1422205879009619973/dEqKHwRt_normal.jpg'],https://twitter.com/Crapplefratz/status/1478133209720397824
certified lover girl,@sweetie_MCFLY,2022-01-03T19:57:16.000Z,"certified lover girl
@sweetie_MCFLY
·
2022年1月4日","Y’all quick to tell ppl they depressed or crackheads etc for smoking weed. I was diagnosed with ptsd, anxiety and i still deal with my postpartum depression. I’ve taken a few different anti-depressants and baby listen ! FUCK THAT.",🦋 😈,1,,1,[],https://twitter.com/sweetie_MCFLY/status/1478093122315894784
𖠌,@divinile,2022-01-03T04:23:03.000Z,"𖠌
@divinile
·
2022年1月3日","me: *was diagnosed with ptsd bc of my abuser & have been told by several psychologists that i was in fact abused by him* 
my abuser and his friends: hE dIdNt aBuSe yOu bEcAuSe hE dIdNt hIt yOu",,,,2,[],https://twitter.com/divinile/status/1477858019119714307
Alliance for PTSD Recovery,@4PTSDRecovery,2022-01-04T16:00:17.000Z,"Alliance for PTSD Recovery
@4PTSDRecovery
·
2022年1月5日","""I was at my wits end dealing with bouts of #anxiety and had trouble sleeping."" After learning TM, I could calm down and sleep better."" abuse victim diagnosed with #PTSD

#insomnia #psychology #peace #happiness",,,,,['https://pbs.twimg.com/media/FIRRNXyXMAEVLRG?format=jpg&name=900x900'],https://twitter.com/4PTSDRecovery/status/1478395869414236168
CHEVY_MAMA68 (CAT),@Chevy_mama,2022-01-05T21:09:10.000Z,"CHEVY_MAMA68 (CAT)
@Chevy_mama
·
2022年1月6日",Not only do I have #RRMS I’m also a domestic violence survivor & it was a rough road leaving & starting over I was diagnosed with #PTSD 6 months after leaving my abusive ex I thought I was going mad I didn’t I could get PTSD I thought only soldiers & 1st responders got it ,😳 🙄,1,,10,[],https://twitter.com/Chevy_mama/status/1478835992752705536
