UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
,@M4STERMILLER,2022-01-01T13:05:06.000Z,"@M4STERMILLER
·
2022年1月1日","additional info for my last thread:
im not professionally diagnosed with depression but judging from the things i experienced and felt in 2019 i was definitely mentally unhealthy. for now i say its depression because all the things i felt at that time all leads to some type of-",🔆,1,,,[],https://twitter.com/M4STERMILLER/status/1477264619206942723
Harry Snuggs,@Hasolhoff,2022-01-01T12:23:22.000Z,"Harry Snuggs
@Hasolhoff
·
2022年1月1日","2021 was a bad year for me. I lost my passion for what I loved, I let my physical heath go, but no where near as badly as my mental health. I was diagnosed with severe depression and it’s led down some dark roads but here’s to hoping 2022 will be my resurgence!",,1,1,5,[],https://twitter.com/Hasolhoff/status/1477254117416480771
DanTheMan,@Dan22102,2022-01-01T09:52:55.000Z,"DanTheMan
@Dan22102
·
2022年1月1日",2021 was definitely a weird one for me with being diagnosed with diabetes which I was very shocked at and also having bad social anxiety and depression is also not good but I'm working on fixing and dealing with the issues I have with 2022 so let's do this,,,,12,[],https://twitter.com/Dan22102/status/1477216254976876546
ILLUMINAKING ™,@FaizFaisal_S,2022-01-01T07:59:15.000Z,"ILLUMINAKING ™
@FaizFaisal_S
·
2022年1月1日","The best thing I’ve ever did in 2021 was to get myself checked and treated. I was diagnosed with mild depression and severe anxiety. All these while, I’ve only read about how others are dealing with depression and anxiety without knowing that I might be dealing with it too",,1,,,[],https://twitter.com/FaizFaisal_S/status/1477187653141692416
wandering lit prof,@TraylorAlan,2022-01-01T06:36:49.000Z,"wandering lit prof
@TraylorAlan
·
2022年1月1日","2021 began with two extended family members dying of COVID. Dad passed in August. I was diagnosed with ""moderate major depression"" in December (and I'm now in treatment). Hoping, for all our sakes, for a better year ahead.",🌄,4,,23,[],https://twitter.com/TraylorAlan/status/1477166904347443202
mir,@NCBRlNAS,2022-01-01T06:22:06.000Z,"mir
@NCBRlNAS
·
2022年1月1日",so i was diagnosed w depression last year,,,,,[],https://twitter.com/NCBRlNAS/status/1477163200630165504
𝖘𝖆𝖗𝖆 𝖘𝖍𝖊𝖎𝖐𝖍 𝖊𝖑𝖆𝖗𝖆𝖇,@suo74,2022-01-01T00:31:31.000Z,"𝖘𝖆𝖗𝖆 𝖘𝖍𝖊𝖎𝖐𝖍 𝖊𝖑𝖆𝖗𝖆𝖇
@suo74
·
2022年1月1日",Several years ago I was diagnosed with sever depression with suicidal ideation I took medications and it put me to sleep every day it put every part of me to sleep how I look so tough from outside is only how I protect myself ..,,,,,[],https://twitter.com/suo74/status/1477074974984835073
Pryncess,@thatpryncess,2022-01-02T22:49:50.000Z,"Pryncess
@thatpryncess
·
2022年1月3日","When I was told I had ptsd I was shocked. I was told by an ex friend that there was “no way I could ever have depression.” So once I started getting diagnosed with different mental illnesses, I feel like ptsd was the most shocking. But now I’m sitting here, just waking up",💜 🌙,2,,8,[],https://twitter.com/thatpryncess/status/1477774161523011590
The Procrastinating Mum | Lisa,@The_Procras_Mum,2022-01-02T22:45:01.000Z,"The Procrastinating Mum | Lisa
@The_Procras_Mum
·
2022年1月3日",In this post (my first ever post!) I introduce myself and my blog. I also talk about when I was first diagnosed with depression just after getting married and how it affected every day life https://buff.ly/3EOXzrA,,,,,[],https://twitter.com/The_Procras_Mum/status/1477772949054754825
അ.,@boneIessbiryani,2022-01-02T18:29:05.000Z,"അ.
@boneIessbiryani
·
2022年1月3日","Story time // my life and how it's the same thing over and over again.

In December 2019, I had my first real existential crisis. I have had the same depressive qualities since I was 13, and at the age of 18, I was diagnosed with Chronic depression. 1/n",,1,,6,[],https://twitter.com/boneIessbiryani/status/1477708540370309120
somebody mama,@avhxo_,2022-01-02T17:49:05.000Z,"somebody mama
@avhxo_
·
2022年1月3日",if u wasn’t there talking me thru the trauma and ptsd in my life or when i got diagnosed with bipolar depression or thru my pregnancy or times where i was stuck crying couldnt get out of bed & ian wanna do life any more or simply there when i needed a shoulder when i was stressed,🦋,1,,,[],https://twitter.com/avhxo_/status/1477698475550720014
emily,@missemilybeaver,2022-01-02T15:08:25.000Z,"emily
@missemilybeaver
·
2022年1月2日","this beautiful thread reminds me of something I taught myself when I was diagnosed with clinical depression. I was a kid back then, barely in high school 1/9",💜,3,,10,['https://pbs.twimg.com/profile_images/1158550892/whassup_sepia_normal.jpg'],https://twitter.com/missemilybeaver/status/1477658042158272514
ˈneɪθən,@nguoiyanqui,2022-01-03T22:50:30.000Z,"ˈneɪθən
@nguoiyanqui
·
2022年1月4日",I was diagnosed with depression at 15. Refused to take pills. Still alive.,,2,,5,[],https://twitter.com/nguoiyanqui/status/1478136717588799496
𝖊𝖒,@lilbebe_em,2022-01-03T22:46:27.000Z,"𝖊𝖒
@lilbebe_em
·
2022年1月4日",my memory is sooooooo bad it’s only gotten worse since I was diagnosed with depression and been on effexor,🤎,,,1,[],https://twitter.com/lilbebe_em/status/1478135696606986240
jennie girl !,@pinksskz,2022-01-03T22:24:01.000Z,"jennie girl !
@pinksskz
·
2022年1月4日",Ik my mom cares for me but I can’t tell she still doesn’t think I have depression even though I was clinically diagnosed…,,,1,,[],https://twitter.com/pinksskz/status/1478130053535911937
