UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Regrette Rien,@YaniqueJLambert,2022-01-01T23:49:14.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月2日","People who live with their parents & still manage to masturbate, fear nothing. 

I'm here just terrified & just a hold it till mi leff.",,15,13,63,['https://pbs.twimg.com/media/FIDfxh2XsAcE4b3?format=jpg&name=small'],https://twitter.com/YaniqueJLambert/status/1477426721884364807
Christina O’,@Irishroots115,2022-01-01T22:46:26.000Z,"Christina O’
@Irishroots115
·
2022年1月2日","Now the neighborhood where I work is at 37.8%. What is the threshold to go remote for a week or 2 to flatten the curve? 50%? 100%? Or nah… #ignoreit #LetThemGetSick 
@UFT
 @ufcuft
 @MOREcaucusUFT",☘,17,29,165,[],https://twitter.com/Irishroots115/status/1477410920137732097
William Green Jr.,@WilliamGreenJr,2022-01-01T23:16:28.000Z,"William Green Jr.
@WilliamGreenJr
·
2022年1月2日","I’m blessed to receive an offer from 
@GSUFootball01
 @coacht044",,42,30,192,"['https://pbs.twimg.com/media/FIDYQ2gWUAEHZ39?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FIDYQ2rXEAI6JFu?format=jpg&name=small']",https://twitter.com/WilliamGreenJr/status/1477418477887664133
Drew Mathis,@drewmathis_,2022-01-01T22:18:48.000Z,"Drew Mathis
@drewmathis_
·
2022年1月2日","BEFORE & AFTER!

A goal I’ve set for 2022 is to share my work more. 

This is a wallpaper I am extremely happy with, that I made for our bowl game in AZ. The goal I had for myself was to get a Kodak film look, due to us playing in the desert and wearing our classic road threads!",,6,8,354,"['https://pbs.twimg.com/media/FIDLE4eWUAEFxAe?format=jpg&name=small', 'https://pbs.twimg.com/media/FIDLE4fWQAkGT0a?format=jpg&name=small']",https://twitter.com/drewmathis_/status/1477403965876838407
Alaeryn #amwriting #amquerying,@Alaeryn,2022-01-01T23:36:49.000Z,"Alaeryn #amwriting #amquerying
@Alaeryn
·
2022年1月2日","#HappyNewYear everyone! I meant to pose and post this last night but I was too sloshed 

#ShowUsYourSims",🐉 😂,3,6,27,['https://pbs.twimg.com/media/FIDc7nkXIAE_ZZp?format=jpg&name=small'],https://twitter.com/Alaeryn/status/1477423599183142919
Matthew Strine,@MDSForTheKids,2022-01-01T23:35:49.000Z,"Matthew Strine
@MDSForTheKids
·
2022年1月2日","Would be a wonderful start to 22’ if I could get some Retweets of my current 
@DonorsChoose
 project and 
@amazon
 wish lists!!! 
@notbatmanyet
 @craignewmark
 @StanLevenson
 @LifeSteam
 @STEM_giving
 @KrocksPage
 @HelpingTeach
 #teachertwitter",,,9,7,[],https://twitter.com/MDSForTheKids/status/1477423347793281027
Scott Giangrande,@ScottGiangrande,2022-01-01T23:37:37.000Z,"Scott Giangrande
@ScottGiangrande
·
2022年1月2日",It's 2022 and I have my ipod working again.,,4,1,21,['https://pbs.twimg.com/media/FIDdHg4WUAMVdOv?format=jpg&name=900x900'],https://twitter.com/ScottGiangrande/status/1477423800899846144
Sweet Pickles,@SweetestPickles,2022-01-01T22:18:57.000Z,"Sweet Pickles
@SweetestPickles
·
2022年1月2日",ipods are coming back in 2022 i’m calling it right now,,4,,19,['https://pbs.twimg.com/media/FIDLHAuWQAUTSLL?format=jpg&name=small'],https://twitter.com/SweetestPickles/status/1477404003470389249
Glizzy McGuire,@highthymes420,2022-01-01T23:17:08.000Z,"Glizzy McGuire
@highthymes420
·
2022年1月2日",I promise this year I will become even hotter and more insane,🌺 ✨,2,2,51,[],https://twitter.com/highthymes420/status/1477418645936611330
Sonny Side Up,@Sonny5ideUp,2022-01-01T23:30:55.000Z,"Sonny Side Up
@Sonny5ideUp
·
2022年1月2日",How I’m sliding into the new year,,,6,86,['https://pbs.twimg.com/media/FIDblV-XEAEMW79?format=jpg&name=small'],https://twitter.com/Sonny5ideUp/status/1477422114747691013
Dr. Frizzle,@Swilua,2022-01-01T23:44:08.000Z,"Dr. Frizzle
@Swilua
·
2022年1月2日",gonna see how many days in a row I can add at least one word to my WIP. this is day one,🌈,5,3,110,[],https://twitter.com/Swilua/status/1477425437248794628
Him Duncan,@NotKadar,2022-01-01T22:10:00.000Z,"Him Duncan
@NotKadar
·
2022年1月2日",Done drinking for good…now I drink for evil,,3,6,61,[],https://twitter.com/NotKadar/status/1477401750764236801
Harris Lue,@HarrisLue,2022-01-01T23:24:47.000Z,"Harris Lue
@HarrisLue
·
2022年1月2日",Starting to think I have a thing for Jordan 5’s… third pair… #ShatteredBackboard,,4,1,25,['https://pbs.twimg.com/media/FIDaLQLXsAgWgJN?format=jpg&name=small'],https://twitter.com/HarrisLue/status/1477420568890777603
Concert Szn Chris,@SupaDupaBats,2022-01-01T23:41:53.000Z,"Concert Szn Chris
@SupaDupaBats
·
2022年1月2日",I didnt realize Ben was 9 ft tall,,1,,18,"['https://pbs.twimg.com/profile_images/1547830662949769217/mgD2Tyzy_normal.jpg', 'https://pbs.twimg.com/media/FIDEmIDXMAEsi9i?format=jpg&name=900x900']",https://twitter.com/SupaDupaBats/status/1477424873655914497
Kristian Winfield,@Krisplashed,2022-01-01T22:54:57.000Z,"Kristian Winfield
@Krisplashed
·
2022年1月2日","Steve Nash on Kyrie Irving “As far as how he looks, he looks very gifted. … I think he’s on his way. It’s getting close. … We don’t want to make a hasty decision, but it’s coming.” #Nets",,7,39,429,[],https://twitter.com/Krisplashed/status/1477413061854126082
Gregorio Naçu,@gregnacu,2022-01-01T23:12:14.000Z,"Gregorio Naçu
@gregnacu
·
2022年1月2日","I have very limited stock left of the Commodore patches. If anyone is interested in them, once they’re gone I probably won’t be ordering more. #c64 Find them at: 
http://c64os.com/buyersguide/#support…",,2,3,11,[],https://twitter.com/gregnacu/status/1477417412140089344
jeff blackwood,@jsbtarheel95,2022-01-01T23:12:22.000Z,"jeff blackwood
@jsbtarheel95
·
2022年1月2日","I knew this day was coming, but still I’m selfishly so damn sad. On the other hand, I’m happy for Sam to get to go to the next level and continue living his dream. Go be great, 
@Sam7Howell
!!!#ThankYouSam",,,3,67,[],https://twitter.com/jsbtarheel95/status/1477417444109127684
jesse pinkwoman,@scorpio__mars,2022-01-01T22:34:22.000Z,"jesse pinkwoman
@scorpio__mars
·
2022年1月2日",I wish it was normal to just text someone I need to fuck u soooooo so bad,,3,3,22,[],https://twitter.com/scorpio__mars/status/1477407881670574080
