UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
diana,@bluntposting,2022-03-03T19:16:27.000Z,"diana
@bluntposting
·
2022年3月4日",Can't wait until im not gainfully employed this summer so i can drive around the city all day like i already do but with no stress instead of the medium stress i feel now,,,,1,[],https://twitter.com/bluntposting/status/1499463732988153858
Nikki Jacoutot,@nikkijacoutot,2022-03-10T23:07:39.000Z,"Nikki Jacoutot
@nikkijacoutot
·
2022年3月11日",Knowing that I’m not alone makes me feel less stressed ,🤔,,,,['https://pbs.twimg.com/card_img/1637160371172651011/WQNey3v0?format=jpg&name=900x900'],https://twitter.com/nikkijacoutot/status/1502058633013735436
Orman Ortega Manansala,@OrmanPogi,2022-03-11T12:50:25.000Z,"Orman Ortega Manansala
@OrmanPogi
·
2022年3月11日","Whenever I feel stressed at work and want to quit, I just look at myself in the mirror and say: “Aarte ka? Mayaman ka?”
Tapos work na uli ako.",,,,3,['https://pbs.twimg.com/media/FNkershXwAI-OHf?format=jpg&name=900x900'],https://twitter.com/OrmanPogi/status/1502265690035785730
Kaz Stellar,@MrsStellar722,2022-03-13T15:56:17.000Z,"Kaz Stellar
@MrsStellar722
·
2022年3月13日","I feel like people spend a lot of time lying about things to make themselves look good… I’m not gonna say I don’t, but I feel like if we stopped lying to ourselves and others we might actually have a chance to feel less stressed.",♑ ♓ ♈,1,,1,[],https://twitter.com/MrsStellar722/status/1503037237625335813
The Daddy Files,@DaddyFiles,2022-03-16T12:32:45.000Z,"The Daddy Files
@DaddyFiles
·
2022年3月16日","Doc: ""I noticed your reported alcohol intake has gone up.""

Me: ""I didn't want my stress levels to feel left out.""

Doc: ""Sure, bc drinking to combat stress is much healthier than counseling.""

Me: ""My counselor complimented me for just sticking with booze & not drugs, so there.""",,3,,14,[],https://twitter.com/DaddyFiles/status/1504073182919237635
Sagittaridess,@sagittaridess,2022-03-18T00:58:42.000Z,"Sagittaridess
@sagittaridess
·
2022年3月18日","im so pass arguin, being angry or trynna make people understand me. I just don’t have the energy to feel or explain. You really can’t stress over situations you can’t control. Just tell yourself “it is what it is” & be peaceful",🤍,1,3,9,[],https://twitter.com/sagittaridess/status/1504623291977375745
gail,@gailyn_merrill,2022-03-20T01:18:08.000Z,"gail
@gailyn_merrill
·
2022年3月20日",i get so stressed when i feel it’s time to make a new spotify playlist,,,1,5,[],https://twitter.com/gailyn_merrill/status/1505352962171940867
Ms.Neal,@TheWifeDotcom,2022-03-22T01:24:30.000Z,"Ms.Neal
@TheWifeDotcom
·
2022年3月22日","I am trying to make myself believe that this picture Did not start a war in Ukraine And and That Poverty Does not Start War's. 
I feel How I Feel.
I'm not trying to get attention I am showing you all that stress does not make you a bad Parent.",,,,,[],https://twitter.com/TheWifeDotcom/status/1506079337002450945
stressica,@_JESSrelax,2022-03-28T23:49:51.000Z,"stressica
@_JESSrelax
·
2022年3月29日",I’m so tired. I don’t feel like I’m an adult. Adults know what’s going on and have their shit together. I feel like I’m always confused and stressed and don’t know what’s going on. And I’m tired. I want to go home.,,,4,7,[],https://twitter.com/_JESSrelax/status/1508592233536180224
Roxiecerr.,@roxiecerr,2022-03-30T23:27:29.000Z,"Roxiecerr.
@roxiecerr
·
2022年3月31日",I feel like buying a coloring book. Helps me with stress and anxiety,,,,,[],https://twitter.com/roxiecerr/status/1509311379228209152
Lehday,@lehday,2022-04-06T22:40:44.000Z,"Lehday
@lehday
·
2022年4月7日","I’m really lovin my new job the people, location, environment, me making more than I used to . I makes me feel so dumb that I wasted so many years and caused so much stress at that shit hole of a place I used too work at",,,1,5,[],https://twitter.com/lehday/status/1511836331227373576
