UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
bunny boy,@MikieMayo,2021-10-01T20:56:35.000Z,"bunny boy
@MikieMayo
·
2021年10月2日","we just bought a house!!!!!!!!!
i am adult ",🐰 🏠,10,1,53,['https://pbs.twimg.com/media/FApF_RwXoAMb2Dj?format=jpg&name=900x900'],https://twitter.com/MikieMayo/status/1444043587738558472
𝙅𝙀𝙏𝙎 𝙈𝙀𝘿𝙄𝘼,@NYJets_Media,2021-10-01T22:16:43.000Z,"𝙅𝙀𝙏𝙎 𝙈𝙀𝘿𝙄𝘼
@NYJets_Media
·
2021年10月2日","I absolutely love how the entire #Jets fan base is showing so much support to Denzel Mims

I hope he has a great day Sunday ",🛫 ✈,20,32,573,['https://pbs.twimg.com/tweet_video_thumb/FApYU_CWQAU4zdu.jpg'],https://twitter.com/NYJets_Media/status/1444063755881623553
Melissa Stager,@melissalstager,2021-10-01T22:08:16.000Z,"Melissa Stager
@melissalstager
·
2021年10月2日","I'm passionate about the power of Ts & public education. As a T you make an impact. But, as an admin. I wonder. So when a person told me today that I changed his life, it moved me. Share kind thoughts &  be good to others. We",,2,3,24,['https://pbs.twimg.com/media/FApWZmxXoAM3PTm?format=jpg&name=900x900'],https://twitter.com/melissalstager/status/1444061631118512130
Franklin Taveras,@thatslife213,2021-10-01T22:13:46.000Z,"Franklin Taveras
@thatslife213
·
2021年10月2日","回复 
@RonFilipkowski",,3,12,109,[],https://twitter.com/thatslife213/status/1444063011996643328
Honeynut Cheery Hole,@DavidRyan091,2021-10-01T23:14:11.000Z,"Honeynut Cheery Hole
@DavidRyan091
·
2021年10月2日","Glasses or no glasses? Smile or no smile? Either way, I’m sliving",☁,,,10,"['https://pbs.twimg.com/media/FApleqYX0AIP34J?format=jpg&name=small', 'https://pbs.twimg.com/media/FAplerOXoAIJ7ff?format=jpg&name=small']",https://twitter.com/DavidRyan091/status/1444078218961727493
kunmie,@Rotimi_Czar,2021-10-01T21:44:56.000Z,"kunmie
@Rotimi_Czar
·
2021年10月2日","回复 
@YettyMal",,2,3,13,['https://pbs.twimg.com/media/FApRDdsXMAMlGKO?format=jpg&name=medium'],https://twitter.com/Rotimi_Czar/status/1444055755703955459
yosyjess,@yosyJess,2021-10-01T23:35:03.000Z,"yosyjess
@yosyJess
·
2021年10月2日","Movie award season starts at the end of the year and many of these movies are not even out, so is just predictions that could change,I hope 
@PrimeVideo
 will campaign strong for 
@Cinderella
 @Camila_Cabello
 in best musical,best actress in a musical or comedy and best original song",,2,20,89,[],https://twitter.com/yosyJess/status/1444083467663327238
Joe Dixon,@JoeLewisdixon,2021-10-01T21:44:30.000Z,"Joe Dixon
@JoeLewisdixon
·
2021年10月2日","回复 
@agraybee",,2,,27,[],https://twitter.com/JoeLewisdixon/status/1444055647612547084
Laura,@lauraboraa_,2021-10-01T23:06:36.000Z,"Laura
@lauraboraa_
·
2021年10月2日",I take more pics then i actually work,🦋,1,,36,['https://pbs.twimg.com/ext_tw_video_thumb/1444076293394477059/pu/img/TdKz-L18D7tyzA-r.jpg'],https://twitter.com/lauraboraa_/status/1444076309873836032
Maybe: Taylor,@tayngel_,2021-10-01T23:46:06.000Z,"Maybe: Taylor
@tayngel_
·
2021年10月2日","This retrograde is teaching me to be STILL. And FEEL. And not to speak. Let the chips fall as they may, I will always come out on top.",,,2,20,[],https://twitter.com/tayngel_/status/1444086248700846088
Step,@stephxragazzo,2021-10-01T22:48:18.000Z,"Step
@stephxragazzo
·
2021年10月2日",Ay oh can I get on the guest list ?,,,2,4,[],https://twitter.com/stephxragazzo/status/1444071704666460163
I’m Jeff,@whosjeffiam,2021-10-01T21:29:14.000Z,"I’m Jeff
@whosjeffiam
·
2021年10月2日",Fun fact: I just made my trainer tweet this while we’re working out,,10,3,127,"['https://pbs.twimg.com/profile_images/1283749611480518658/RFQATU14_normal.jpg', 'https://pbs.twimg.com/media/FApNSdFWEAMMpG1?format=jpg&name=900x900']",https://twitter.com/whosjeffiam/status/1444051806431195147
jonny,@jonnybeec,2021-10-01T23:22:33.000Z,"jonny
@jonnybeec
·
2021年10月2日",5th season?!?! i didn’t even know there was a first one?!? WHAT,🏠,1,,14,"['https://pbs.twimg.com/profile_images/1394266006395228162/qIjjvzl7_normal.jpg', 'https://pbs.twimg.com/media/FAokkRjXEBcoEVh?format=jpg&name=900x900']",https://twitter.com/jonnybeec/status/1444080324535857160
"Eating, Drinking, and Working Too Much!",@PhillyGrub,2021-10-01T23:04:39.000Z,"Eating, Drinking, and Working Too Much!
@PhillyGrub
·
2021年10月2日",I almost ate the whole pint. IDGAF because I'm officially on vacation!! ,🎉,7,,27,['https://pbs.twimg.com/media/FApjTXhWQAAMW31?format=jpg&name=900x900'],https://twitter.com/PhillyGrub/status/1444075817072484353
InAllKindsOfWeather.com,@AllKindsWeather,2021-10-01T22:10:23.000Z,"InAllKindsOfWeather.com
@AllKindsWeather
·
2021年10月2日","I’m at the Dartmouth-Penn game. PLENTY of #Gators connections for the #BigGreen, including:

K Connor Davis (son of former K 
@JuddDavis
)
TE Zion Carter (son of former DL 
@KevinCarter_93
)
OC Sammy McCorkle (former UF DB, 1993-96)
HC Buddy Teevens (ex-UF assistant, 1999-01)",🟢 🟢 🟢 🟢,3,1,14,[],https://twitter.com/AllKindsWeather/status/1444062161177878528
Leslie Gudel,@lesliegudel,2021-10-01T23:34:03.000Z,"Leslie Gudel
@lesliegudel
·
2021年10月2日","24 years ago today, Comcast SportsNet was born. I believe this was in the 
@PhillyInquirer
 that day. I framed this commemorative copy for my parents and they sent it back to me a few years ago. A little wrinkled but holding up well.",,40,16,299,['https://pbs.twimg.com/media/FApqB2BWEAo6or7?format=jpg&name=900x900'],https://twitter.com/lesliegudel/status/1444083215782879232
EJ Samson,@ejsamson,2021-10-01T23:10:15.000Z,"EJ Samson
@ejsamson
·
2021年10月2日",Being told by a coworker that I look like his fiancé’s 12-year-old niece was just the ego boost I needed heading into the weekend,,3,,13,['https://pbs.twimg.com/media/FApklV0XEAEwBIk?format=jpg&name=medium'],https://twitter.com/ejsamson/status/1444077229051367427
Elise,@Swopes,2021-10-01T21:31:51.000Z,"Elise
@Swopes
·
2021年10月2日",Got some absolutely amazing news today!  I cannot wait to share!!! Unfortunately it won’t be until oct 26th ,✨ 💛 😭,5,,41,[],https://twitter.com/Swopes/status/1444052466849419266
tiny terror,@ohaileigh,2021-10-01T22:38:55.000Z,"tiny terror
@ohaileigh
·
2021年10月2日",Clark pissed me off by saying Miss Stefani G is annoying so I threw is phone in my backseat and blasted 3 oh 3 don’t trust me as punishment,,,,8,[],https://twitter.com/ohaileigh/status/1444069342879141891
